2022-12-20 19:12:265 INFO  HomePage :106 - The Category List is [[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/child::*]]
2022-12-20 19:12:361 INFO  ProductPage :61 - Select Sort By[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //select[@id='products-orderby']]
2022-12-20 19:12:375 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 19:12:417 INFO  ProductPage :95 - List of Products after sorting[[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 19:12:418 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 19:12:443 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 19:12:469 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 19:12:893 INFO  TopMenuPage :60 - Menu option selected[[[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*]]
2022-12-20 19:12:947 INFO  TopMenuPage :44 - Menu option selected[[[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='header-menu']//ul/child::*]]
2022-12-20 19:12:972 INFO  TopMenuPage :68 - The page title are [[ChromeDriver: chrome on WINDOWS (f2781babc015bea864b38ec80507d5dd)] -> xpath: //div[@class='page-title']]
